Author,Comment
@user-mi926,"your videos are awesome!! i've been using them all term long to study and my grades really picked up! its the only study music that works for me, and your dedication of uploading one playlist a day is inspiring!! have a great day :)"
@Jungkookcooked,Currently midterms n so far I’ve only done 1/6 test done!! Trying to lock in this whole week!
@이지영-o3x,seconddddd looks so SCRUMPTIOUS
@ixxiekoo,so true bestie
@StudywithKeithLe,"Have a *happy**, **healthy**, and **love-filled* day! "
@음-l4m,굿
@edupastreloful,"Boa semana a todos!

Have a good one, everyone!"
@just___iz2477,Currently doing Bible study!
@violetatorres8593,neta que estos videos cambiaron mi vida 
@NguyễnĐìnhThuỷTiên,COOL
@Annn617,Mengambil sedikit waktu santai saat keadaan didalam rumah sudah seperti neraka. Musik yang membuatmu menemukan kebahagiaan kecil>_<
